                                                                                   Error Summary by Conference                                                                                   
┏━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━┓
┃ Conference      ┃ Error Parsing JSON ┃ Input mismatch ┃ Missing LLM Output ┃ Missing aff ┃ Success Rate         ┃ Tokens per Paper ┃ completion_tokens ┃ prompt_tokens    ┃ total_tokens      ┃
┡━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━┩
│ affiliations-1  │ 0 (0.00%)          │ 0 (0.00%)      │ 97205 (98.44%)     │ 0 (0.00%)   │ 1542/98747 (1.56%)   │ 12.94 (100.00%)  │ 117222 (9.17%)    │ 1161013 (90.83%) │ 1278235 (100.00%) │
│ affiliations-10 │ 0 (0.00%)          │ 0 (0.00%)      │ 95662 (96.88%)     │ 0 (0.00%)   │ 3085/98747 (3.12%)   │ 13.17 (100.00%)  │ 130188 (10.01%)   │ 1170563 (89.99%) │ 1300751 (100.00%) │
│ affiliations-11 │ 1 (0.00%)          │ 0 (0.00%)      │ 94121 (95.32%)     │ 0 (0.00%)   │ 4625/98747 (4.68%)   │ 13.17 (100.00%)  │ 130287 (10.02%)   │ 1170021 (89.98%) │ 1300308 (100.00%) │
│ affiliations-12 │ 2 (0.00%)          │ 0 (0.00%)      │ 92580 (93.75%)     │ 0 (0.00%)   │ 6165/98747 (6.24%)   │ 13.19 (100.00%)  │ 131431 (10.09%)   │ 1170863 (89.91%) │ 1302294 (100.00%) │
│ affiliations-13 │ 3 (0.00%)          │ 0 (0.00%)      │ 91038 (92.19%)     │ 0 (0.00%)   │ 7706/98747 (7.80%)   │ 13.18 (100.00%)  │ 130670 (10.04%)   │ 1171148 (89.96%) │ 1301818 (100.00%) │
│ affiliations-14 │ 4 (0.00%)          │ 0 (0.00%)      │ 89497 (90.63%)     │ 0 (0.00%)   │ 9246/98747 (9.36%)   │ 13.17 (100.00%)  │ 130320 (10.02%)   │ 1170171 (89.98%) │ 1300491 (100.00%) │
│ affiliations-15 │ 4 (0.00%)          │ 0 (0.00%)      │ 87954 (89.07%)     │ 0 (0.00%)   │ 10789/98747 (10.93%) │ 13.19 (100.00%)  │ 130828 (10.05%)   │ 1171232 (89.95%) │ 1302060 (100.00%) │
│ affiliations-16 │ 4 (0.00%)          │ 0 (0.00%)      │ 86412 (87.51%)     │ 0 (0.00%)   │ 12331/98747 (12.49%) │ 13.16 (100.00%)  │ 129426 (9.96%)    │ 1169656 (90.04%) │ 1299082 (100.00%) │
│ affiliations-17 │ 4 (0.00%)          │ 0 (0.00%)      │ 84870 (85.95%)     │ 0 (0.00%)   │ 13873/98747 (14.05%) │ 13.21 (100.00%)  │ 132697 (10.17%)   │ 1171754 (89.83%) │ 1304451 (100.00%) │
