aff_raw,count
Tsinghua University,7917
Google,7000
Zhejiang University,5604
Carnegie Mellon University,5114
Stanford University,4832
Peking University,4482
Massachusetts Institute of Technology,4250
University of Science and Technology of China,4197
Microsoft,3914
"University of California, Berkeley",3396
Alibaba Group,3391
Shanghai Jiaotong University,3387
National University of Singapore,3325
Google DeepMind,2676
Amazon,2669
Google Research,2580
Nanyang Technological University,2491
Korea Advanced Institute of Science & Technology,2413
The Chinese University of Hong Kong,2370
University of Oxford,2266
Fudan University,2227
Georgia Institute of Technology,2221
NVIDIA,2173
Microsoft Research,2109
"University of California, Los Angeles",2081
Hong Kong University of Science and Technology,1826
Princeton University,1821
Seoul National University,1812
New York University,1792
"University of Maryland, College Park",1781
University of Chinese Academy of Sciences,1726
Nanjing University,1629
University of Cambridge,1615
University of Southern California,1581
"University of California, San Diego",1579
Tencent AI Lab,1571
University of Washington,1540
Columbia University,1524
Meta Facebook,1493
"University of Illinois, Urbana Champaign",1475
Huawei Technologies Ltd.,1474
Beihang University,1473
Microsoft Research Asia,1470
Shanghai Jiao Tong University,1460
Harbin Institute of Technology,1439
Cornell University,1418
"Institute of Automation, Chinese Academy of Sciences",1404
Harvard University,1396
Northeastern University,1391
University of Electronic Science and Technology of China,1353
Johns Hopkins University,1353
Adobe Research,1340
Shanghai AI Laboratory,1317
Purdue University,1308
Huazhong University of Science and Technology,1277
University of Toronto,1256
Meta,1250
Apple,1247
Beijing University of Posts and Telecommunications,1210
University of Pennsylvania,1207
International Business Machines,1120
Huawei Noah’s Ark Lab,1114
Renmin University of China,1105
The University of Hong Kong,1101
"University of Texas, Austin",1085
Meta AI,1063
South China University of Technology,969
The University of Tokyo,966
City University of Hong Kong,961
Imperial College London,960
Beijing Institute of Technology,921
Ant Group,904
University of Texas at Austin,885
SenseTime Research,883
University of Amsterdam,883
Swiss Federal Institute of Technology,873
Yonsei University,856
IBM Research,848
Tianjin University,829
Shanghai Artificial Intelligence Laboratory,823
KAIST,805
Duke University,804
Yale University,803
Xidian University,800
Allen Institute for Artificial Intelligence,775
National University of Defense Technology,768
ShanghaiTech University,754
Wuhan University,751
University of Michigan,738
Michigan State University,735
Arizona State University,732
University College London,723
SUN YAT-SEN UNIVERSITY,722
Monash University,721
"Institute of Computing Technology, Chinese Academy of Sciences",720
East China Normal University,720
ETHZ - ETH Zurich,719
University of British Columbia,714
Korea University,705
Xiamen University,699
McGill University,697
Xi'an Jiaotong University,695
Mohamed bin Zayed University of Artificial Intelligence,690
University of Sydney,686
Pennsylvania State University,683
Westlake University,668
University of Alberta,663
University of Waterloo,659
Tencent,656
INRIA,648
Rutgers University,645
University of Hong Kong,641
Peng Cheng Laboratory,635
AWS AI Labs,634
Australian National University,624
ETH Zurich,624
Southeast University,613
University of Edinburgh,613
"DAMO Academy, Alibaba Group",613
Rice University,608
"The Chinese University of Hong Kong, Shenzhen",607
Tel Aviv University,604
"School of Computer Science, Carnegie Mellon University",592
Dalian University of Technology,582
Technical University of Munich,577
"School of Artificial Intelligence, University of Chinese Academy of Sciences",573
Facebook AI Research,563
University of Technology Sydney,562
University of Michigan - Ann Arbor,561
University of Illinois Urbana-Champaign,561
EPFL - EPF Lausanne,560
ByteDance Inc.,557
The Hong Kong Polytechnic University,556
University of Chicago,556
"College of Computer Science and Technology, Zhejiang University",555
Shandong University,554
University of Montreal,552
National Taiwan University,549
Singapore Management University,545
Tongji University,545
Nanjing University of Science and Technology,530
"Nanyang Technological University, Singapore",529
UC Berkeley,527
Boston University,521
